comment_id,created_at,context,user_id,article_id
2,2023-04-04 16:59,est phasellus sit amet erat nulla tempus vivamus in felis eu,tkesterton0,43
68,2023-01-20 23:41,integer ac leo pellentesque ultrices mattis odio donec vitae nisi nam ultrices,kohoolahan1,94
74,2023-03-14 23:23,iaculis justo in hac habitasse platea dictumst etiam faucibus cursus urna ut tellus nulla ut erat id mauris vulputate elementum,dbohey2,52
53,2023-04-18 23:45,proin at turpis a pede posuere nonummy integer non velit,mstannah3,12
37,2023-07-23 5:21,sapien cursus vestibulum proin eu mi nulla ac enim in tempor turpis nec euismod scelerisque,zdillistone4,96
42,2023-04-12 9:37,praesent lectus vestibulum quam sapien varius ut blandit non interdum in ante vestibulum ante ipsum primis in faucibus,dgillison5,33
3,2023-04-25 21:24,maecenas leo odio condimentum id luctus nec molestie sed justo pellentesque viverra pede ac diam cras pellentesque volutpat,rsuddock6,7
8,2023-09-09 21:19,in faucibus orci luctus et ultrices posuere cubilia curae duis faucibus accumsan odio curabitur convallis duis consequat dui nec,hantonsen7,72
54,2023-05-30 12:06,sed vel enim sit amet nunc viverra dapibus nulla suscipit,hbladge8,27
52,2023-08-15 6:55,lacinia erat vestibulum sed magna at nunc commodo placerat praesent,pyork9,21
26,2023-03-26 9:11,felis eu sapien cursus vestibulum proin eu mi nulla ac enim in tempor turpis nec euismod scelerisque,alossmana,53
81,2023-07-04 14:52,magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum,blerouxb,12
92,2023-05-26 2:07,turpis a pede posuere nonummy integer non velit donec diam neque vestibulum eget vulputate ut ultrices vel augue vestibulum ante,wferrarelloc,22
96,2023-10-22 12:09,interdum mauris non ligula pellentesque ultrices phasellus id sapien in sapien iaculis congue vivamus metus arcu adipiscing,dspreadd,88
44,2023-02-14 16:30,pretium iaculis justo in hac habitasse platea dictumst etiam faucibus cursus urna ut tellus nulla,mhallgalleye,7
46,2023-05-25 18:20,lobortis sapien sapien non mi integer ac neque duis bibendum morbi non quam nec dui luctus rutrum nulla tellus,arealf,62
27,2023-09-08 1:03,viverra diam vitae quam suspendisse potenti nullam porttitor lacus at turpis donec posuere metus vitae ipsum,bswinleyg,67
83,2023-04-03 3:12,neque sapien placerat ante nulla justo aliquam quis turpis eget elit sodales scelerisque,ochettleh,51
