comment_id,created_at,context,user_id,article_id,comment_grp,hierarchy
2,2023-04-04 16:59,est phasellus sit amet erat nulla tempus vivamus in felis eu,tkesterton0,43,1,0
68,2023-01-20 23:41,integer ac leo pellentesque ultrices mattis odio donec vitae nisi nam ultrices,kohoolahan1,94,1,1
74,2023-03-14 23:23,iaculis justo in hac habitasse platea dictumst etiam faucibus cursus urna ut tellus nulla ut erat id mauris vulputate elementum,dbohey2,52,,0
53,2023-04-18 23:45,proin at turpis a pede posuere nonummy integer non velit,mstannah3,12,,0
37,2023-07-23 5:21,sapien cursus vestibulum proin eu mi nulla ac enim in tempor turpis nec euismod scelerisque,zdillistone4,96,,0
42,2023-04-12 9:37,praesent lectus vestibulum quam sapien varius ut blandit non interdum in ante vestibulum ante ipsum primis in faucibus,dgillison5,33,,1
3,2023-04-25 21:24,maecenas leo odio condimentum id luctus nec molestie sed justo pellentesque viverra pede ac diam cras pellentesque volutpat,rsuddock6,7,,1
8,2023-09-09 21:19,in faucibus orci luctus et ultrices posuere cubilia curae duis faucibus accumsan odio curabitur convallis duis consequat dui nec,hantonsen7,72,,0
54,2023-05-30 12:06,sed vel enim sit amet nunc viverra dapibus nulla suscipit,hbladge8,27,,1
52,2023-08-15 6:55,lacinia erat vestibulum sed magna at nunc commodo placerat praesent,pyork9,21,,0
26,2023-03-26 9:11,felis eu sapien cursus vestibulum proin eu mi nulla ac enim in tempor turpis nec euismod scelerisque,alossmana,53,,0
81,2023-07-04 14:52,magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum,blerouxb,12,,0
92,2023-05-26 2:07,turpis a pede posuere nonummy integer non velit donec diam neque vestibulum eget vulputate ut ultrices vel augue vestibulum ante,wferrarelloc,22,,1
96,2023-10-22 12:09,interdum mauris non ligula pellentesque ultrices phasellus id sapien in sapien iaculis congue vivamus metus arcu adipiscing,dspreadd,88,,1
44,2023-02-14 16:30,pretium iaculis justo in hac habitasse platea dictumst etiam faucibus cursus urna ut tellus nulla,mhallgalleye,7,,0
46,2023-05-25 18:20,lobortis sapien sapien non mi integer ac neque duis bibendum morbi non quam nec dui luctus rutrum nulla tellus,arealf,62,,1
27,2023-09-08 1:03,viverra diam vitae quam suspendisse potenti nullam porttitor lacus at turpis donec posuere metus vitae ipsum,bswinleyg,67,,0
83,2023-04-03 3:12,neque sapien placerat ante nulla justo aliquam quis turpis eget elit sodales scelerisque,ochettleh,51,1,0
80,2023-08-30 17:40,bibendum felis sed interdum venenatis turpis enim blandit mi in porttitor pede justo eu massa donec dapibus duis at,pfallowsi,34,2,0
55,2022-12-22 5:16,leo maecenas pulvinar lobortis est phasellus sit amet erat nulla tempus vivamus in felis eu sapien cursus vestibulum proin eu,prenhardj,4,,1
79,2023-09-19 3:07,aliquam sit amet diam in magna bibendum imperdiet nullam orci pede venenatis non sodales sed tincidunt eu felis,tkesterton0,98,,1
100,2023-06-22 21:13,pellentesque volutpat dui maecenas tristique est et tempus semper est quam pharetra magna ac consequat metus sapien,kohoolahan1,60,,0
100,2023-04-14 20:01,integer tincidunt ante vel ipsum praesent blandit lacinia erat vestibulum,dbohey2,83,,1
83,2023-10-27 23:32,tempus vivamus in felis eu sapien cursus vestibulum proin eu mi nulla ac enim in tempor turpis nec euismod scelerisque,mstannah3,76,,0
17,2023-11-02 16:41,augue quam sollicitudin vitae consectetuer eget rutrum at lorem integer tincidunt ante vel ipsum,zdillistone4,13,,0
80,2023-03-09 10:16,id ornare imperdiet sapien urna pretium nisl ut volutpat sapien,dgillison5,23,,0
83,2023-10-07 2:20,lectus suspendisse potenti in eleifend quam a odio in hac habitasse platea dictumst maecenas ut massa quis augue luctus tincidunt,rsuddock6,26,,1
20,2023-01-27 4:35,nunc commodo placerat praesent blandit nam nulla integer pede justo lacinia eget tincidunt eget tempus vel pede morbi porttitor lorem,hantonsen7,51,,1
14,2023-05-07 20:56,at turpis donec posuere metus vitae ipsum aliquam non mauris morbi non lectus aliquam,hbladge8,28,,0
19,2023-06-01 7:22,et eros vestibulum ac est lacinia nisi venenatis tristique fusce congue diam id ornare imperdiet sapien urna,pyork9,75,,1
79,2023-06-08 2:36,vel augue vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae,alossmana,40,,0
31,2022-12-10 23:09,maecenas tincidunt lacus at velit vivamus vel nulla eget eros elementum pellentesque quisque porta volutpat erat,blerouxb,23,,0
77,2023-05-01 13:21,eros elementum pellentesque quisque porta volutpat erat quisque erat eros viverra eget,wferrarelloc,90,,0
65,2022-12-22 4:05,maecenas pulvinar lobortis est phasellus sit amet erat nulla tempus vivamus,dspreadd,83,,1
17,2023-10-27 11:35,ullamcorper augue a suscipit nulla elit ac nulla sed vel,mhallgalleye,88,,1
31,2023-09-28 12:02,tincidunt lacus at velit vivamus vel nulla eget eros elementum pellentesque quisque porta volutpat erat quisque erat eros,arealf,37,,0
60,2023-02-03 21:11,justo in hac habitasse platea dictumst etiam faucibus cursus urna ut tellus nulla,bswinleyg,76,,1
91,2023-01-23 0:15,malesuada in imperdiet et commodo vulputate justo in blandit ultrices enim,ochettleh,100,,0
46,2023-07-26 1:49,vulputate ut ultrices vel augue vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae,pfallowsi,44,2,0
79,2023-03-13 2:54,est lacinia nisi venenatis tristique fusce congue diam id ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu,prenhardj,65,3,0
37,2023-02-19 12:27,ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel sem,tkesterton0,8,,1
53,2022-11-20 1:57,amet sem fusce consequat nulla nisl nunc nisl duis bibendum felis sed interdum venenatis,kohoolahan1,2,,1
100,2023-06-02 18:29,dapibus dolor vel est donec odio justo sollicitudin ut suscipit a feugiat et eros vestibulum ac,dbohey2,1,,0
98,2023-03-14 22:01,a odio in hac habitasse platea dictumst maecenas ut massa,mstannah3,96,,1
4,2023-02-09 12:13,id ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed,zdillistone4,79,,0
89,2023-02-22 10:34,tellus in sagittis dui vel nisl duis ac nibh fusce,dgillison5,78,,0
30,2023-03-01 7:53,amet lobortis sapien sapien non mi integer ac neque duis bibendum morbi non quam nec dui luctus rutrum,rsuddock6,3,,0
62,2023-09-13 15:14,in magna bibendum imperdiet nullam orci pede venenatis non sodales sed tincidunt eu felis fusce posuere felis sed lacus morbi,hantonsen7,36,,1
48,2023-08-14 11:48,nunc rhoncus dui vel sem sed sagittis nam congue risus semper,hbladge8,36,,1
12,2023-06-25 22:28,curae donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien non mi integer ac,pyork9,61,,0
74,2023-08-13 5:15,ultrices vel augue vestibulum ante ipsum primis in faucibus orci,alossmana,21,,1
79,2023-05-20 13:50,arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque eget,blerouxb,92,,0
17,2023-08-11 17:43,porta volutpat quam pede lobortis ligula sit amet eleifend pede libero quis orci nullam molestie nibh in,wferrarelloc,72,,0
37,2022-11-24 16:59,dolor quis odio consequat varius integer ac leo pellentesque ultrices mattis odio donec,dspreadd,32,,0
51,2023-09-04 22:37,tortor risus dapibus augue vel accumsan tellus nisi eu orci,mhallgalleye,31,,1
35,2023-04-01 17:25,pede posuere nonummy integer non velit donec diam neque vestibulum eget vulputate ut ultrices vel augue vestibulum ante,arealf,73,,1
56,2023-02-10 11:10,mi pede malesuada in imperdiet et commodo vulputate justo in blandit ultrices enim lorem ipsum dolor sit,bswinleyg,13,,0
46,2022-12-30 10:10,volutpat quam pede lobortis ligula sit amet eleifend pede libero quis orci,ochettleh,13,,1
13,2023-08-08 4:51,feugiat et eros vestibulum ac est lacinia nisi venenatis tristique fusce congue diam id ornare imperdiet sapien urna pretium nisl,pfallowsi,63,3,0
7,2022-11-30 11:40,massa id nisl venenatis lacinia aenean sit amet justo morbi ut odio cras mi pede malesuada in imperdiet,prenhardj,32,4,0
9,2022-12-11 18:44,faucibus orci luctus et ultrices posuere cubilia curae nulla dapibus dolor vel est donec odio justo sollicitudin ut suscipit a,tkesterton0,33,,0
71,2023-06-04 15:32,lacus at velit vivamus vel nulla eget eros elementum pellentesque quisque porta volutpat erat quisque,kohoolahan1,60,,1
9,2022-12-14 3:54,eros suspendisse accumsan tortor quis turpis sed ante vivamus tortor duis mattis egestas metus aenean fermentum donec ut,dbohey2,38,,1
21,2023-05-04 22:25,in lacus curabitur at ipsum ac tellus semper interdum mauris ullamcorper,mstannah3,67,,0
11,2023-08-16 12:17,id massa id nisl venenatis lacinia aenean sit amet justo morbi ut odio,zdillistone4,82,,1
69,2023-08-29 12:32,nulla ultrices aliquet maecenas leo odio condimentum id luctus nec molestie sed justo pellentesque viverra pede,dgillison5,30,,0
27,2023-01-16 12:36,dui vel nisl duis ac nibh fusce lacus purus aliquet at feugiat non pretium quis lectus suspendisse potenti in eleifend,rsuddock6,74,,0
56,2023-02-13 6:43,gravida sem praesent id massa id nisl venenatis lacinia aenean sit amet justo morbi ut odio cras mi pede,hantonsen7,75,,0
3,2023-07-24 14:40,mi nulla ac enim in tempor turpis nec euismod scelerisque quam turpis,hbladge8,99,,1
82,2023-09-25 9:44,luctus et ultrices posuere cubilia curae nulla dapibus dolor vel est donec odio justo sollicitudin ut suscipit a feugiat,pyork9,59,,1
1,2023-10-11 3:10,blandit ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing elit proin,alossmana,10,,0
70,2023-10-18 5:57,nonummy maecenas tincidunt lacus at velit vivamus vel nulla eget eros elementum pellentesque quisque porta volutpat erat,blerouxb,37,,1
72,2022-12-20 9:21,quisque arcu libero rutrum ac lobortis vel dapibus at diam nam,wferrarelloc,87,,0
40,2023-10-22 20:25,nisl duis bibendum felis sed interdum venenatis turpis enim blandit mi in,dspreadd,69,,0
55,2023-06-27 4:08,ultrices posuere cubilia curae nulla dapibus dolor vel est donec odio justo sollicitudin ut suscipit a,mhallgalleye,21,,0
16,2023-02-07 5:04,molestie nibh in lectus pellentesque at nulla suspendisse potenti cras in purus eu magna vulputate luctus cum sociis,arealf,50,,1
26,2023-10-29 10:06,ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing elit,bswinleyg,58,,1
78,2023-04-28 20:15,eget tempus vel pede morbi porttitor lorem id ligula suspendisse ornare consequat lectus in est risus,ochettleh,3,,0
52,2023-07-30 17:04,sed augue aliquam erat volutpat in congue etiam justo etiam pretium iaculis justo in hac,pfallowsi,82,4,1
57,2023-02-10 17:37,nulla facilisi cras non velit nec nisi vulputate nonummy maecenas tincidunt,prenhardj,52,5,0
20,2023-08-27 2:01,odio consequat varius integer ac leo pellentesque ultrices mattis odio donec vitae,tkesterton0,66,,0
6,2022-12-29 8:40,eleifend luctus ultricies eu nibh quisque id justo sit amet sapien dignissim vestibulum,kohoolahan1,92,,0
1,2023-09-27 7:18,id nulla ultrices aliquet maecenas leo odio condimentum id luctus nec molestie sed justo pellentesque,dbohey2,43,,1
39,2023-04-16 6:34,sem praesent id massa id nisl venenatis lacinia aenean sit,mstannah3,76,,1
83,2023-09-30 15:50,consequat varius integer ac leo pellentesque ultrices mattis odio donec vitae nisi nam ultrices libero non mattis pulvinar nulla,zdillistone4,91,,0
